season,date,division,home_team,away_team,home_goals,away_goals,full_time_result,depor_venue,depor_goals_for,depor_goals_against,depor_result,source_url,half_time_home_goals,half_time_away_goals,half_time_result
1993-94,1993-09-05,SP1,La Coruna,Celta,0,0,D,H,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-09-12,SP1,Sp Gijon,La Coruna,0,2,A,A,2,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-09-19,SP1,La Coruna,Real Madrid,4,0,H,H,4,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-09-26,SP1,Sevilla,La Coruna,0,0,D,A,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-10-03,SP1,La Coruna,Sociedad,0,1,A,H,0,1,L,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-10-06,SP1,Albacete,La Coruna,0,0,D,A,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-10-17,SP1,La Coruna,Barcelona,1,0,H,H,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-10-24,SP1,Zaragoza,La Coruna,0,1,A,A,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-10-31,SP1,La Coruna,Osasuna,3,1,H,H,3,1,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-11-07,SP1,Valladolid,La Coruna,0,0,D,A,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-11-10,SP1,Ath Bilbao,La Coruna,3,1,H,A,1,3,L,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-11-21,SP1,La Coruna,Oviedo,4,0,H,H,4,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-11-28,SP1,Ath Madrid,La Coruna,0,1,A,A,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-12-05,SP1,La Coruna,Santander,1,0,H,H,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-12-12,SP1,Tenerife,La Coruna,0,1,A,A,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1993-12-19,SP1,La Coruna,Lerida,2,0,H,H,2,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-01-02,SP1,Vallecano,La Coruna,0,0,D,A,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-01-09,SP1,La Coruna,Logrones,3,0,H,H,3,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-01-16,SP1,Valencia,La Coruna,1,3,A,A,3,1,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-01-23,SP1,Celta,La Coruna,0,0,D,A,0,0,D,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-01-30,SP1,La Coruna,Sp Gijon,2,1,H,H,2,1,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-02-06,SP1,Real Madrid,La Coruna,2,0,H,A,0,2,L,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-02-13,SP1,La Coruna,Sevilla,2,0,H,H,2,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
1993-94,1994-02-20,SP1,Sociedad,La Coruna,0,1,A,A,1,0,W,https://www.football-data.co.uk/mmz4281/9394/SP1.csv,,,
